UID,Yr,NRows,Mean_ForStrat_ground,Mean_ForStrat_understory,Mean_ForStrat_midhigh,Mean_ForStrat_canopy,Mean_ForStrat_aerial,Air,Air_sallier,Bark,Canopy,Ground,Nectar,Raptor,Shrub,Water,Aquatic,Cavities,DeciduousMCF,Forest,Generalist,Lowlands,Lowlands_Cliffs,Mixed_conifer_forest,Mountain_scrub,Oaks,Openings,Pines,PinyonJuniper,Riparian,Urban,Grassland,HumanModified,Rock,Shrubland,Wetland,Woodland,skyIs,lat,lon,fireYear,dnbr,sampleYr1,sampleYr2,lastSampleYear,elapsedYrs,median_10yrsPrior,min_firePlus3,median_05yrsPostMin,median_10yrsPostMin,phix05,rfvc10,Country,isl_map,isl_field,transect,point,year.sampled,PC1,PC2,Com_Cl,Com_Des,unique_id,focal.yrs.max,focal.count.max,div.years,div.count,years.since,fire1.focalvar.dnbr,fire1.focalmean.dnbr,fire2.focalvar.dnbr,fire2.focalmean.dnbr,fire3.focalvar.dnbr,fire3.focalmean.dnbr,history.class,pines_beta,shrub_beta,forest_beta,Com_DesUO
Chiricahua_A_6_2014,2014,4,19.375,34.89642857,23.43214286,19.23571429,3,0,0,0.121428571,0.569642857,0.258928571,0.05,0,0,0,0,0,0,0.294642857,0,0,0,0.125,0,0.198214286,0,0.382142857,0,0,0,0,0,0,0.123214286,0,0,DOS CABEZAS - CHIRACAHUA,31.8352,-109.3239,2011,523.5663452,2014,1996,2014,3,64.21354675,-18.04167175,8.947906494,10.21353912,0.328119951,0.343506605,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,6,2014,0.706649429,0.300416238,MCF,Mixed conifer forest,CM_A_6,2011,2,1,2,3,2149.475529,-38.42072647,27666.36575,285.3261922,NA,NA,4,0.382142857,0.01,0.294642857,Mixed conifer forest
Chiricahua_A_8_2014,2014,4,10.25,46.65,31.15,11.9,0,0,0.25,0.175,0.525,0.05,0,0,0,0,0,0.075,0,0.4,0,0,0,0.15,0,0.025,0,0.35,0,0,0,0,0,0,0.025,0,0,DOS CABEZAS - CHIRACAHUA,31.8375,-109.321,2011,218,2014,1996,2014,3,61.12499237,6.041671753,22.82292175,25.11980438,0.304652113,0.346350445,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,8,2014,0.706649429,0.300416238,PF,Pine forest,CM_A_8,2011,2,1,2,3,1760.293507,-18.48214206,7174.611982,256.9667624,NA,NA,5,0.35,0.01,0.4,Pine forest
Chiricahua_A_9_2014,2014,4,21.05555556,24.77777778,33.02777778,13.36111111,7.75,0,0.027777778,0.077777778,0.555555556,0.283333333,0,0.027777778,0.027777778,0,0,0,0.2,0.233333333,0,0,0,0.305555556,0.027777778,0.027777778,0,0.205555556,0,0,0,0,0,0,0.127777778,0,0.027777778,DOS CABEZAS - CHIRACAHUA,31.8401,-109.321,2011,335.8775024,2014,1996,2014,3,70.22915649,15.57292175,45.72915649,54.734375,0.551743728,0.716504776,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,9,2014,0.706649429,0.300416238,PF,Pine forest,CM_A_9,2011,1,1,1,3,4569.245589,219.0402007,NA,NA,NA,NA,1,0.205555556,0.027777778,0.233333333,Pine forest
Chiricahua_A_10_2014,2014,4,15.85714286,20.38392857,43.83035714,15.69642857,4.232142857,0,0.074107143,0.146428571,0.597321429,0.139285714,0,0.042857143,0,0,0,0,0.200892857,0.213392857,0.042857143,0,0,0.215178571,0,0.053571429,0,0.274107143,0,0,0,0,0.042857143,0,0.096428571,0,0,DOS CABEZAS - CHIRACAHUA,31.8422,-109.3211,2011,194.4263611,2014,1996,2014,3,68.89061737,34.66667175,45.625,43.29167175,0.320194766,0.252016529,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,10,2014,0.706649429,0.300416238,MCF,Mixed conifer forest,CM_A_10,2011,1,1,1,3,5992.855859,135.6129124,NA,NA,NA,NA,1,0.274107143,0.01,0.213392857,Mixed conifer forest
Chiricahua_A_11_2014,2014,4,21.47113095,41.53092532,25.06306818,9.051623377,2.7375,0,0.199729437,0.016666667,0.360930736,0.268777056,0.075108225,0.039393939,0.039393939,0,0,0,0.016666667,0.420589827,0,0,0.016666667,0.114880952,0.039393939,0.23146645,0,0.053977273,0,0.106358225,0,0,0,0.016666667,0.319074675,0,0.056060606,DOS CABEZAS - CHIRACAHUA,31.8443,-109.3215,2011,384,2014,1996,2014,3,38.85416412,-52.53123474,-30.69790649,-22.94270325,0.238914843,0.323777451,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,11,2014,0.660057176,0.358825995,MCF,Mixed conifer forest,CM_A_11,2011,1,1,1,3,14242.41855,235.4899707,NA,NA,NA,NA,3,0.053977273,0.039393939,0.420589827,Mixed conifer forest
Chiricahua_A_12_2014,2014,4,13.71732026,42.49795752,31.38276144,10.63316993,1.740196078,0,0.144812092,0.028594771,0.479575163,0.146650327,0.087622549,0,0.112745098,0,0,0,0.027777778,0.396446078,0.028594771,0,0.013888889,0.071895425,0.056372549,0.218545752,0,0.157883987,0,0.028594771,0,0,0,0.013888889,0.10498366,0,0.04248366,DOS CABEZAS - CHIRACAHUA,31.8467,-109.3216,2011,280,2014,1996,2014,3,32.390625,-14.86459351,-5.468765259,-5.234382629,0.198831548,0.203791479,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,12,2014,0.660057176,0.358825995,POW,Pine oak woodland,CM_A_12,2011,1,1,1,3,3630.12912,107.6740207,NA,NA,NA,NA,1,0.157883987,0.112745098,0.396446078,Pine oak woodland
Chiricahua_B_1_2015,2014,4,30.15714286,34.26785714,25.01785714,9.325,1.107142857,0.035714286,0.175,0.025,0.457142857,0.182142857,0,0,0.125,0,0,0,0,0.332142857,0.071428571,0,0,0.171428571,0.125,0.175,0,0.025,0,0.1,0,0,0,0,0.096428571,0,0.025,DOS CABEZAS - CHIRACAHUA,31.8623,-109.3344,2011,258,2015,1996,2015,4,38.84896851,8.874984741,26.26043701,21.55729675,0.580018072,0.423110659,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,B,1,2015,0.603467388,0.436513671,OW,Oak woodland,CM_B_1,2011,1,1,1,4,5778.208823,30.87931582,NA,NA,NA,NA,1,0.025,0.125,0.332142857,Oak woodland
Chiricahua_D_2_2015,2014,6,32.42513228,33.26613757,26.41693122,7.544708995,0.238095238,0.023809524,0.108994709,0.04047619,0.564550265,0.094179894,0,0,0.167989418,0,0,0,0,0.206613757,0.066137566,0.016666667,0,0.04047619,0.075661376,0.398412698,0.075661376,0.051851852,0,0.068518519,0,0,0.018518519,0,0.208465608,0,0.016666667,DOS CABEZAS - CHIRACAHUA,31.7871,-109.3187,2011,437,2015,1996,2015,4,46.32290649,-32.85415649,4.697921753,16.23957825,0.474279758,0.62004996,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,2,2015,0.582402046,0.435748001,POW,Pine oak woodland,CM_D_2,2011,2,1,2,4,2686.399624,71.44812722,5933.323997,240.763084,NA,NA,5,0.051851852,0.167989418,0.206613757,Pine oak woodland
Chiricahua_D_3_2015,2014,10,26.50606061,36.16452214,24.17501166,12.6697669,0.3,0,0.10967366,0.171829837,0.519358974,0.117878788,0,0,0.081258741,0,0,0,0,0.191829837,0.033566434,0.016783217,0,0.10455711,0.047692308,0.363275058,0,0.166188811,0,0.076107226,0,0,0,0,0.053298368,0,0.051748252,DOS CABEZAS - CHIRACAHUA,31.7899,-109.32,2011,617.0113525,2015,NA,2015,4,113.6145859,32.69791412,54.46875,73.57811737,0.269052538,0.505213603,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,3,2015,0.602546157,0.408763541,OW,Oak woodland,CM_D_3,2011,2,1,2,4,8280.853612,170.3618073,38190.10847,300.3684209,NA,NA,4,0.166188811,0.081258741,0.191829837,Oak woodland
Chiricahua_D_4_2015,2014,10,15.68120435,43.80672688,27.55534771,12.37429876,0.407692308,0,0.116921134,0.17009324,0.550720668,0.09215812,0.038803419,0.0125,0.018803419,0,0,0,0.007692308,0.320009713,0.081111111,0,0,0.069143357,0.007692308,0.25798951,0,0.193350816,0,0.063010878,0,0,0,0,0.053269231,0,0.011111111,DOS CABEZAS - CHIRACAHUA,31.7926,-109.3208,2011,148,2015,1996,2015,4,87.96875763,51.63540649,69.99998474,70.36457825,0.50544686,0.515481539,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,D,4,2015,0.602546157,0.408763541,POW,Pine oak woodland,CM_D_4,2011,1,1,1,4,12115.87649,54.67597532,NA,NA,NA,NA,3,0.193350816,0.018803419,0.320009713,Pine oak woodland
